registro,Ener_1_mean_50,Ener_1_variance_50,Ener_2_mean_50,Ener_2_variance_50,Ener_3_mean_50,Ener_3_variance_50,Ener_5_mean_50,Ener_5_variance_50,Ener_6_mean_50,Ener_6_variance_50,Ener_7_mean_50,Ener_7_variance_50
0,,,,,,,,,,,,
1,,,,,,,,,,,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,,,,,,,,,,,,
16,,,,,,,,,,,,
17,,,,,,,,,,,,
18,,,,,,,,,,,,
19,,,,,,,,,,,,
20,,,,,,,,,,,,
21,,,,,,,,,,,,
22,,,,,,,,,,,,
23,,,,,,,,,,,,
24,,,,,,,,,,,,
25,,,,,,,,,,,,
26,,,,,,,,,,,,
27,,,,,,,,,,,,
28,,,,,,,,,,,,
29,,,,,,,,,,,,
30,,,,,,,,,,,,
31,,,,,,,,,,,,
32,,,,,,,,,,,,
33,,,,,,,,,,,,
34,,,,,,,,,,,,
35,,,,,,,,,,,,
36,,,,,,,,,,,,
37,,,,,,,,,,,,
38,,,,,,,,,,,,
39,,,,,,,,,,,,
40,,,,,,,,,,,,
41,,,,,,,,,,,,
42,,,,,,,,,,,,
43,,,,,,,,,,,,
44,,,,,,,,,,,,
45,,,,,,,,,,,,
46,,,,,,,,,,,,
47,,,,,,,,,,,,
48,,,,,,,,,,,,
49,119.90945137068964,4.091780562607738,179.84199362081262,24.48976559589532,29.90125289465462,0.25013155207224597,4.982818621931674,0.008955128310096667,996.774128171474,3.017661056011013,500.28476633042186,1.024538458423843
50,119.90821959186707,4.0978168237205,180.0990091966334,22.618080961410563,29.876852929419123,0.22258344528504803,4.981310172554418,0.008906540924579119,996.6699813383362,2.8747770681934823,500.30033507451714,1.039747171860138
51,119.83596838826531,3.8903876496972107,180.01509078673692,23.280388820053375,29.86755992436899,0.21758832475737447,4.978052143445622,0.009550986375540752,996.5545709753798,2.7535367290889914,500.32525724472464,1.0126397451313847
52,119.79676561694059,3.758522071248217,179.89859835283048,24.422563645702724,29.858406763855715,0.22894704240313324,4.9763434877405475,0.010021336002727874,996.4333665717303,2.590019219343536,500.3627000310114,1.0025793098469757
53,119.79699402904802,3.7574987513825406,180.05222576786778,24.147488120952982,29.853937640871436,0.22878312108392254,4.969534778241304,0.011458618101276321,996.3123026567681,2.4228837509773014,500.41731523710155,1.0102335604164734
54,119.71993252922105,3.4765897259137284,179.78957815334923,24.3644667554425,29.839087321169423,0.22449678966818504,4.961501768677788,0.013431416613548956,996.1976012446321,2.2842587989261407,500.4689903397808,1.0344360444189644
